CASH,NOTES_ACC_REC_NET,CURR_ASSETS_OTH,CURR_ASSETS,PROP_EQUIP_OWNED,DEPR_PROP_EQUIP,PROP_EQUIP_CAP_LS,AMORT_PR_EQ_CAP_LS,PROP_EQUIP,ASSETS_OTHER,ASSETS,NOTES_ACC_PAYABLE,ACCRUED_TAXES,CURR_LIAB_OTHER,CURR_LIABILITIES,LONG_TERM_DEBT,OTH_LIABILITIES,DEFERRED_CREDITS,PF_EQUITY,PF_SHARES_NUM,COM_EQUITY,COM_SHARES_NUM,PAID_IN_CAPITAL,RET_EARNINGS,SH_HLD_EQUITY,TREAS_STOCK,SH_HLD_EQUITY_NET,LIAB_SH_HLD_EQUITY,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
,,2488.76,2488.76,1516.99,1048.22,,,468.77,,2957.53,,,42.95,42.95,,,,,,1.00,,,2913.58,2914.58,,2914.58,2957.53,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06055,D,4,1,2002,4
,,2851.74,2851.74,3597.75,1332.42,,,2265.33,,5117.07,,38.91,,38.91,,,,,,1.00,,,5077.16,5078.16,,5078.16,5117.07,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06055,D,4,1,2004,4
,,2874.46,2874.46,1616.33,570.80,,,1045.54,,3920.00,,,137.33,137.33,,,,,,1.00,,,3781.67,3782.67,,3782.67,3920.00,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06055,D,4,1,2003,4
,,3514.52,3514.52,1620.00,834.58,,,785.42,,4299.93,,,227.52,227.52,,,,,,1.00,,,4071.41,4072.41,,4072.41,4299.93,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06055,D,4,1,2004,2
,,54570.00,54570.00,,,37838.00,,37838.00,49128.00,141536.00,,,19800.00,19800.00,51248.00,24168.00,2914.00,,,2.00,,47148.00,-3744.00,43406.00,,43406.00,141536.00,20305,PCQ,Pace Airlines,PCQ,Pace Airlines,06764,S,4,1,2001,2
,30.76,1.70,32.46,8.04,8.04,,,,27.00,59.46,22.46,,-0.01,22.45,,,,,,0.50,,34.80,1.71,37.01,,37.01,59.46,19658,TKQ,Trans-Air-Link Corporation,TKQ,Trans-Air-Link Corporation,06889,S,4,1,1999,2
,64.68,139.62,204.30,11.48,11.48,,,,,204.30,85.04,,0.64,85.68,72.00,,,,,0.50,,34.80,11.32,46.62,,46.62,204.30,19658,TKQ,Trans-Air-Link Corporation,TKQ,Trans-Air-Link Corporation,06889,S,4,1,1999,4
,327.02,1683.65,2010.67,14224.18,3602.24,6047.51,748.43,15921.03,852.43,18784.13,10176.01,68.55,262.10,10506.66,10244.71,1451.58,,,,1.00,,312.05,-3731.87,-3418.82,,-3418.82,18784.13,20421,SLQ,Sky King Inc.,SLQ,Sky King Inc.,06039,D,4,1,2002,4
,768.17,216.85,985.02,2888.38,164.27,,,2724.11,14.24,3723.36,200.84,,1303.87,1504.71,1032.38,,,,,120.42,,,1065.86,1186.27,,1186.27,3723.36,20408,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,3K,Tatonduk Outfitters Limited d/b/a Tatonduk Flying Service,06860,D,4,1,1996,4
,844.76,9.66,854.42,841.85,498.99,,,342.86,682.72,1880.01,3923.68,,,3923.68,610.43,,,,,10.10,,,-2664.20,-2654.10,,-2654.10,1880.01,20093,CTQ,Custom Air Transport,CTQ,Custom Air Transport,06175,D,4,1,1999,4
,904.95,91.80,996.75,1353.08,100.03,,,1253.04,12.85,2262.64,696.01,,162.52,858.52,490.68,,,,,120.42,,,792.67,913.08,,913.08,2262.28,20408,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,3K,Tatonduk Outfitters Limited d/b/a Tatonduk Flying Service,06860,D,4,1,1996,2
