AIR_OP_EXPENSE,FL_ATT_EXPENSE,FOOD_EXPENSE,OTH_IN_FL_EXPENSE,PAX_SVC_EXPENSE,LINE_SVC_EXPENSE,CONTROL_EXPENSE,LANDING_FEES,AIR_SVC_EXPENSE,TRAFFIC_EXP_PAX,TRAFFIC_EXP_CARGO,TRAFFIC_EXP_OTH,TRAFFIC_EXPENSE,RES_EXP_PAX,RES_EXP_CARGO,RES_EXP_OTH,RES_EXPENSE,AD_EXP_PAX,AD_EXP_CARGO,AD_EXP_INST,AD_EXPENSE,ADMIN_EXPENSE,DEPR_EXP_MAINT,AMORTIZATION,TRANSPORT_EXP,TOTAL_OP_EXPENSE,MAINT_PROP_EQUIP,DEPR_PROP_EQUIP,MAINT_DEPR,SVC_SALES_OP_EXP,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
2875.00,,,,,38.00,90.00,74.00,202.00,,69.00,,69.00,,,7.00,7.00,,,,,393.00,1.00,3.00,,3700.00,114.00,36.00,150.00,825.00,19917,5X,United Parcel Service,5X,United Parcel Service,16912,L,3,3,1992,1
2897.38,214.63,23.06,57.60,295.29,28.94,11.51,132.22,172.67,609.46,13.30,143.86,766.62,589.47,2.38,,591.85,84.34,,,84.34,530.84,0.97,,2.56,5393.85,,51.33,51.33,2493.92,20436,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,16461,L,3,3,2009,3
2899.00,,,,,54.00,123.00,103.00,280.00,,77.00,,77.00,,,14.00,14.00,,,,,352.00,1.00,3.00,,3760.00,102.00,32.00,134.00,861.00,19917,5X,United Parcel Service,5X,United Parcel Service,16912,L,3,3,1996,1
2899.98,202.27,0.00,0.42,202.69,17.65,19.00,0.00,36.65,534.43,546.06,41.22,1121.71,0.00,0.00,0.00,0.00,0.00,0.00,1.91,1.91,654.90,0.00,-0.14,0.28,5063.49,99.31,46.20,145.51,2163.22,20398,MQ,Envoy Air,MQ,Envoy Air,16820,L,3,3,2016,4
2903.00,31.00,3.00,6.00,40.00,10.00,36.00,19.00,65.00,,,,,3.00,,17.00,20.00,,,1.00,1.00,43.00,,2.00,1.00,3076.00,,1.00,1.00,172.00,20095,WO (1),World Airways Inc.,WO,World Airways Inc.,06930,D,2,2,1994,2
2906.00,180.00,15.00,72.00,268.00,0.00,0.00,91.00,91.00,148.00,0.00,188.00,336.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,186.00,0.00,4.00,0.00,3810.00,0.00,16.00,16.00,903.00,20304,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,11025,L,3,3,2013,3
2914.32,447.12,165.92,125.27,738.30,124.93,55.12,64.84,244.90,320.55,108.88,244.31,673.75,394.66,0.41,185.42,580.48,,,211.88,211.88,503.87,1.79,48.07,72.76,6206.23,168.89,47.23,216.12,3219.16,19690,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,15375,P,2,2,1999,3
2924.12,194.10,0.61,104.98,299.69,0.00,0.00,0.52,0.52,23.12,0.00,74.20,97.32,0.00,0.00,0.00,0.00,0.00,0.00,1.31,1.31,173.78,0.00,7.73,0.00,3520.80,0.00,16.32,16.32,596.67,20304,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,11025,L,3,3,2019,4
2949.89,0.00,0.00,0.00,0.00,0.00,16.77,0.00,16.77,0.00,0.00,344.19,344.19,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.33,1274.48,5.10,0.00,0.09,4652.71,0.00,61.86,61.86,1702.73,20357,ER,"Astar USA, LLC",ER,"Astar USA, LLC",16171,L,2,2,2011,1
2957.58,193.76,0.99,110.70,305.45,0.00,0.00,1.56,1.56,21.30,0.00,82.07,103.37,0.00,0.00,0.00,0.00,0.00,0.00,1.48,1.48,186.61,0.00,9.78,0.00,3581.11,0.00,15.28,15.28,623.53,20304,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,11025,L,3,3,2019,3
