SALARIES_MGT,SALARIES_FLIGHT,SALARIES_MAINT,SALARIES_TRAFFIC,SALARIES_OTHER,SALARIES,BENEFITS_PERSONNEL,BENEFITS_PENSIONS,BENEFITS_PAYROLL,BENEFITS,SALARIES_BENEFITS,AIRCRAFT_FUEL,MAINT_MATERIAL,FOOD,OTHER_MATERIALS,MATERIALS_TOTAL,ADVERTISING,COMMUNICATION,INSURANCE,OUTSIDE_EQUIP,COMMISIONS_PAX,COMMISSIONS_CARGO,OTHER_SERVICES,SERVICES_TOTAL,LANDING_FEES,RENTALS,DEPRECIATION,AMORTIZATION,OTHER,TRANS_EXPENSE,OP_EXPENSE,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
40.24,3824.98,476.75,1043.72,875.01,6260.7,272.9,845.28,431.66,1549.84,7810.54,18162.31,1485.75,104.81,287.53,20040.4,226.8,505.37,385.38,518.26,31.43,0.0,3924.12,5591.35,995.57,6239.92,216.82,0.0,1344.63,0.0,42239.23,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,16831,L,2.0,2.0,2011,3
40.95,3557.68,396.77,890.63,961.71,5847.74,289.25,913.68,636.18,1839.12,7686.85,15873.81,1142.51,96.33,259.74,17372.39,179.5,541.7,321.7,475.65,35.33,0.0,3491.1,5044.98,930.06,5861.8,275.03,0.0,1408.99,0.0,38580.09,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,16831,L,2.0,2.0,2012,1
41.0,2926.0,687.0,1477.0,1095.0,6226.0,409.0,1784.0,393.0,2586.0,8812.0,12552.0,339.0,841.0,431.0,14163.0,414.0,538.0,238.0,1641.0,681.0,33.0,4004.0,7549.0,561.0,1204.0,2517.0,186.0,-147.0,7738.0,42583.0,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10262,P,3.0,3.0,2006,3
41.0,4961.0,549.0,2300.0,1063.0,8914.0,633.0,2241.0,536.0,3410.0,12324.0,14991.0,540.0,123.0,169.0,15823.0,544.0,82.0,160.0,2487.0,110.0,2.0,2638.0,6023.0,1147.0,2474.0,2043.0,79.0,1838.0,23.0,41774.0,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,11033,L,3.0,3.0,2012,3
41.0,5464.0,518.0,4658.0,1807.0,12488.0,1286.0,4001.0,1049.0,6336.0,18824.0,10101.0,713.0,4253.0,1017.0,16084.0,1473.0,1975.0,43.0,201.0,28570.0,492.0,2294.0,35048.0,1586.0,563.0,6980.0,1259.0,677.0,263.0,81284.0,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,10052,P,3.0,3.0,1992,4
41.0,6225.0,430.0,4103.0,2446.0,13245.0,815.0,2340.0,965.0,4120.0,17365.0,9639.0,887.0,4204.0,693.0,15423.0,1190.0,1583.0,61.0,493.0,40147.0,449.0,5315.0,49238.0,1722.0,1192.0,6939.0,1153.0,736.0,694.0,94462.0,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,10052,P,3.0,3.0,1993,4
41.0,6312.0,428.0,3193.0,1849.0,11823.0,1173.0,2713.0,945.0,4831.0,16654.0,9322.0,911.0,4147.0,596.0,14976.0,1133.0,1366.0,82.0,631.0,11295.0,7760.0,5646.0,27913.0,1781.0,942.0,7638.0,1183.0,801.0,691.0,72579.0,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,10052,P,3.0,3.0,1994,1
41.0,7147.0,1240.0,5553.0,1802.0,15783.0,1041.0,3973.0,1014.0,6028.0,21811.0,7220.0,1937.0,2610.0,720.0,12487.0,818.0,1882.0,203.0,569.0,5313.0,123.0,2497.0,11405.0,1142.0,5407.0,2356.0,119.0,562.0,79.0,55368.0,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10260,L,3.0,3.0,1993,3
42.0,5954.0,435.0,2538.0,1350.0,10319.0,722.0,2010.0,735.0,3467.0,13786.0,9759.0,333.0,4701.0,627.0,15420.0,1295.0,1390.0,48.0,304.0,51883.0,455.0,5563.0,60938.0,1847.0,927.0,6435.0,1140.0,359.0,762.0,101614.0,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,10052,P,3.0,3.0,1993,3
42.0,7303.0,1295.0,5504.0,1812.0,15956.0,1014.0,6123.0,1148.0,8285.0,24241.0,7429.0,2021.0,2373.0,694.0,12517.0,1024.0,1793.0,197.0,537.0,5397.0,122.0,2683.0,11753.0,904.0,5200.0,2454.0,1299.0,571.0,91.0,59030.0,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10260,L,3.0,3.0,1993,2
